colour_images,type,colour,bw_images,origionalcolour,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation_2.started,image_2.started,fixation_2.stopped,image_2.stopped,text.started,fixation.started,image.started,Redbutton.started,Blue_button.started,Yellow_button.started,Green_button.started,fixation.stopped,image.stopped,Redbutton.numClicks,Redbutton.timesOn,Redbutton.timesOff,Blue_button.numClicks,Blue_button.timesOn,Blue_button.timesOff,Yellow_button.numClicks,Yellow_button.timesOn,Yellow_button.timesOff,Green_button.numClicks,Green_button.timesOn,Green_button.timesOff,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_bluetable.png,furniture,blue,,,0,0,0,0,0,0,0,0,,,,,79.42356200003996,84.45683460007422,84.7099469001405,84.76104749995284,86.72372930007987,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_bluetrumpet.png,instrument,blue,,,0,0,0,0,0,1,1,4,,,,,,86.72372930007987,87.02369679999538,87.04033200000413,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_redharp.png,instrument,red,,,0,0,0,0,0,2,2,6,,,,,,89.02560910000466,89.32349160010926,89.34037739993073,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_bluebus.png,vehical,blue,,,0,0,0,0,0,3,3,12,,,,,,91.3258843999356,91.62378669995815,91.6403725000564,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_redfork.png,ktools,red,,,0,0,0,0,0,4,4,10,,,,,,93.6901302000042,93.92353400005959,93.99021870014258,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_greenguitar.png,instrument,green,,,0,0,0,0,0,5,5,5,,,,,,95.94027710007504,96.22357290005311,96.24038700014353,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_redcycle.png,vehical,red,,,0,0,0,0,0,6,6,14,,,,,,98.24013900011778,98.52359479991719,98.54011399997398,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_redbed.png,furniture,red,,,0,0,0,0,0,7,7,2,,,,,,100.52395760011859,100.8235774000641,100.84016730007716,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_greencar.png,vehical,green,,,0,0,0,0,0,8,8,13,,,,,,102.82425480009988,103.12356179999188,103.1401668000035,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_yellowchair.png,furniture,yellow,,,0,0,0,0,0,9,9,3,,,,,,105.124522899976,105.42343680001795,105.44025949994102,,,,,,,,,,,,,,,,,,,,,,,,,1pfinal,001,2023-11-27_19h20.13.419,final experiment brightness,2023.1.3,60.16517746118973,
