colour_images,type,colour,bw_images,origionalcolour,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation_2.started,image_2.started,fixation_2.stopped,text.started,fixation.started,image.started,Redbutton.started,Blue_button.started,Yellow_button.started,Green_button.started,fixation.stopped,image.stopped,Redbutton.numClicks,Redbutton.timesOn,Redbutton.timesOff,Blue_button.numClicks,Blue_button.timesOn,Blue_button.timesOff,Yellow_button.numClicks,Yellow_button.timesOn,Yellow_button.timesOff,Green_button.numClicks,Green_button.timesOn,Green_button.timesOff,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_bluepan.png,ktools,blue,,,0,0,0,0,0,0,0,8,,,,,152.685614899965,157.71951159997843,157.98514020000584,158.0349708001595,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_bluetable.png,furniture,blue,,,0,0,0,0,0,1,1,0,,,,,,159.98660720000044,160.28473159996793,160.30150169995613,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_redharp.png,instrument,red,,,0,0,0,0,0,2,2,6,,,,,,162.28518680017442,162.58494230010547,162.60163870011456,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_bluebus.png,vehical,blue,,,0,0,0,0,0,3,3,12,,,,,,164.58717960002832,164.88471710006706,164.90154130011797,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_redbed.png,furniture,red,,,0,0,0,0,0,4,4,2,,,,,,166.8861066000536,167.1846650999505,167.20148589997552,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_yellowchair.png,furniture,yellow,,,0,0,0,0,0,5,5,3,,,,,,169.1868263001088,169.4847876999993,169.50144230015576,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_greensofa.png,furniture,green,,,0,0,0,0,0,6,6,1,,,,,,171.48638890008442,171.80155510012992,171.8181022000499,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_yellowplane.png,vehical,yellow,,,0,0,0,0,0,7,7,15,,,,,,173.8014919999987,174.08453939994797,174.10132830007933,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_redfork.png,ktools,red,,,0,0,0,0,0,8,8,10,,,,,,176.10143100004643,176.38466520002112,176.4012667001225,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_yellowpiano.png,instrument,yellow,,,0,0,0,0,0,9,9,7,,,,,,178.40120030008256,178.68455070001073,178.7013722001575,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_greenknife.png,ktools,green,,,0,0,0,0,0,10,10,9,,,,,,180.70140360016376,180.98499829997309,181.00151920015924,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_redcycle.png,vehical,red,,,0,0,0,0,0,11,11,14,,,,,,183.00155080016702,183.28487100009806,183.30173720000312,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_yellowkettle.png,ktools,yellow,,,0,0,0,0,0,12,12,11,,,,,,185.2860559001565,185.5843730000779,185.60154930013232,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_bluetrumpet.png,instrument,blue,,,0,0,0,0,0,13,13,4,,,,,,187.60135899996385,187.88480600016192,187.90124820009805,,,,,,,,,,,,,,,,,,,,,,,,2pfinal,001,2023-11-27_20h55.09.815,final experiment brightness,2023.1.3,59.719461833422635,
