colour_images,type,colour,bw_images,origionalcolour,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,fixation_2.started,image_2.started,fixation_2.stopped,image_2.stopped,text.started,fixation.started,image.started,Redbutton.started,Blue_button.started,Yellow_button.started,Green_button.started,fixation.stopped,Redbutton.numClicks,Redbutton.timesOn,Redbutton.timesOff,Blue_button.numClicks,Blue_button.timesOn,Blue_button.timesOff,Yellow_button.numClicks,Yellow_button.timesOn,Yellow_button.timesOff,Green_button.numClicks,Green_button.timesOn,Green_button.timesOff,image.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_yellowchair.png,furniture,yellow,,,0,0,0,0,0,0,0,3,,,,,43.865723999915645,48.89757809997536,48.89757809997536,49.1650393998716,49.19785919995047,51.181140899891034,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_redfork.png,ktools,red,,,0,0,0,0,0,1,1,10,,,,,,,51.181140899891034,51.48093089996837,51.49792200000957,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_bluetable.png,furniture,blue,,,0,0,0,0,0,2,2,0,,,,,,,53.480773699935526,53.78103840001859,53.797948699910194,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_bluetrumpet.png,instrument,blue,,,0,0,0,0,0,3,3,4,,,,,,,55.78366159996949,56.08107049996033,56.09791429992765,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_redharp.png,instrument,red,,,0,0,0,0,0,4,4,6,,,,,,,58.08102039992809,58.38105299999006,58.39782469999045,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_bluepan.png,ktools,blue,,,0,0,0,0,0,5,5,8,,,,,,,60.38215769990347,60.680992499925196,60.697574499994516,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_redbed.png,furniture,red,,,0,0,0,0,0,6,6,2,,,,,,,62.680988899897784,62.98104380001314,62.9986906000413,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_redcycle.png,vehical,red,,,0,0,0,0,0,7,7,14,,,,,,,64.99763379991055,65.2809875998646,65.2976350998506,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_greencar.png,vehical,green,,,0,0,0,0,0,8,8,13,,,,,,,67.28282399987802,67.59756170003675,67.6143222998362,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_yellowplane.png,vehical,yellow,,,0,0,0,0,0,9,9,15,,,,,,,69.58095450000837,69.88100509997457,69.89761129999533,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_greensofa.png,furniture,green,,,0,0,0,0,0,10,10,1,,,,,,,71.88075220002793,72.18099420005456,72.19761079992168,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_yellowkettle.png,ktools,yellow,,,0,0,0,0,0,11,11,11,,,,,,,74.18069329997525,74.48080789996311,74.49744819989428,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_bluebus.png,vehical,blue,,,0,0,0,0,0,12,12,12,,,,,,,76.48211589991115,76.781119100051,76.7974874000065,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_yellowpiano.png,instrument,yellow,,,0,0,0,0,0,13,13,7,,,,,,,78.78261339990422,79.08070180006325,79.09743039985187,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_greenknife.png,ktools,green,,,0,0,0,0,0,14,14,9,,,,,,,81.08289629989304,81.38055979995988,81.3976616000291,,,,,,,,,,,,,,,,,,,,,,,,,5pfinal1,001,2023-11-27_21h52.29.970,final experiment brightness,2023.1.3,59.661919761030234,
